CAL51,CAL120,BT549
,,DDX50
,,RP11-568K15.1
,,TRAF1
,,LRRC29
,,TTC7B
,,CHRNB1
,,EXTL3
,,CCL28
,,FAM185A
,,MEF2A
,,NBPF20
,,AC239799.1
,,SRGAP1
,,HOXA9
,,CCNC
,,SMAD1
,,LCN12
,,ZNF284
,,TBC1D10C
,,CTSH
,,C1orf101
,,B3GNT8
,,ARL11
,,ACHE
,,TTC39C
,,NPDC1
,,PGRMC1
,,SLC22A5
,,WWTR1
,,SLC41A3
,,RPS6KA5
,,MIR182
,,GPR56
,,PRR23C
,,LANCL3
,,PAPOLA
,,FKBP3
,,KIAA0226L
,,CT45A3
,,CT45A1
,,PHOSPHO1
,,AKIRIN2
,,PIN1P1
,,CD300LG
,,TNFRSF10D
,,MIR499A
,,MEIS2
,,VHLL
,,STXBP3
,,MGAT3
,,OR11A1
,,EPN2
,,PHYHIPL
,,C11orf49
,,TUBA4B
,,ZBTB26
,,ZNHIT2
,,OTUD1
,,SLC22A31
,,DENND6A
,,SYNGAP1
,,DDX19A
,,RP9P
,,AP3B2
,,ZFP69
,,ZNF593
,,C4orf45
,,MYH11
,,RP11-93B14.5
,,LINC00514
,,RPA2
,,ELN
,,EPHA4
,,ZNF98
,,TMED8
,,REXO4
,,FAM78B
,,GBX2
,,VSTM1
,,THAP5
,,MZT1
,,MIR4689
,,TMEM63B
,,P2RX5
,,P2RX5-TAX1BP3
,,SLC38A5
,,RFX3
,,COL7A1
,,LRG_286
,,AGBL4
,,OST4
,,SPTBN4
,,ETV6
,,PSKH2
,,MEGF8
,,UBOX5
,,NOX4
,,PKDREJ
,,TBP
,,SNRPG
,,GMEB2
,,MYOD1
,,PCBP4
,,IRX1
,,PLEKHG4
,,KAT6B
,,TMEM201
,,SIGLEC1
,,SLC2A14
,,FLII
,,CDH23
,,CENPU
,,PTH1R
,,IBTK
,,TNRC6B
,,ST8SIA5
,,GDF15
,,PARD3B
,,RPP25
,,OXSR1
,,GTF2H5
,,LRG_469
,,DCHS2
,,PDZRN4
,,MIR326
,,KRTAP10-3
,,SIGLEC14
,,STAB1
,,CYP27A1
,,COL8A2
,,NPW
,,SALL2
,,IL17RD
,,MIR4737
,,CDA
,,E2F5
,,PDE9A
,,ATMIN
,,GPR3
,,C11orf86
,,SPDYC
,,PMAIP1
,,PARP9
,,PRRG3
,,ANKRD6
,,MCIDAS
,,UBR7
,,MEST
,,PRSS21
,,HOXA4
,,C2orf82
,,MSH4
,,NPHS2
,,MIR503
,,RNF223
,,EDEM3
,,GPR50
,,FAM9B
,,RALY
,,KLK4
,,RP5-1024G6.5
,,DLGAP1
,,MROH2B
,,SAP25
,,LEMD3
,,C4orf46
,,ZNF706
,,C16orf54
,,PDCD2
,,JPH4
,,MIR615
,,FAM212A
,,GALNT9
,,COL8A1
,,PPM1E
,,LEPREL1
,,C20orf27
,,EBF3
,,SPINK4
,,CSMD1
,,TNFRSF1A
,,LRG_193
,,CNGA3
,,ANO2
,,BANP
,,PRDM8
,,DONSON
,,POU6F2
,,C17orf98
,,C20orf78
,,TIE1
,,DENND2C
,,GOLT1A
,,SMARCE1
,,BARX2
,,MIR3618
,,PDE4B
,,IQCC
,,ULK2
,,MTMR14
,,MEGF11
,,TTC16
,,SLC25A3
,,RHOXF1
,,HLA-DQB1
,,TICAM2
,,TMED7-TICAM2
,,ZNF813
,,ZC3H12D
,,ENPP7
,,NLRX1
,,TSSC1
,,ELOVL3
,,ABT1
,,ADAMTS14
,,HLA-G
,,MIR192
,,ZNF483
,,TBX21
,,PLTP
,,DNAJA4
,,UPP1
,,SEZ6L
,,ELAVL3
,,COPE
,,RP1
,,GAN
,,LRG_242
,,PIF1
,,EDC3
,,POMC
,,SLC25A21
,,ARG2
,,CABP7
,,TAGLN
,,AC002472.13
,,ATP1A1
,,SLC16A7
,,FOXC2
,,ARL14
,,MIR5699
,,SPNS3
,,AKR7A3
,,HMX3
,,LINC01116
,,RFWD2
,,NAT16
,,DUXA
,,LIFR
,,SQSTM1
,,GRASP
,,PDK2
,,KIF26B
,,PCDHGB6
,,ERN2
,,PREB
,,CATSPER4
,,ZNF136
,,HLA-F
,,PTPN5
,,SHISA2
,,F2RL3
,,ZNF763
,,LHX4
,,HAS1
,,ZNF697
,,BEX5
,,YBX2
,,CLN8
,,RNF144B
,,FAM228A
,,PVRL2
,,KIF5C
,,CHRAC1
,,HOXC10
,,DPP3
,,CCDC39
,,RAF1
,,LRG_413
,,CRYBA2
,,ARHGAP23
,,SH2D4A
,,MYH7B
,,KIAA1919
,,RP11-578F21.12
,,RPUSD3
,,SDCBP2
,,LIM2
,,HPSE
,,SLC39A14
,,XYLT2
,,COQ2
,,DUSP7
,,RRP1B
,,MANF
,,MROH7
,,PSTPIP1
,,LRG_172
,,NCAPD3
,,ST14
,,PNMT
,,ZIC3
,,NSG1
,,ABCF3
,,PPM1M
,,ARPC1A
,,H1F0
,,SPHKAP
,,ADAM22
,,SPEF1
,,EPHA10
,,BHMT
,,YWHAEP7
,,DSG2
,,SLC22A4
,,ARRB1
,,C2orf27B
,,ZNF100
,,BTC
,,LRRC8E
,,ZNF91
,,GAPDHS
,,MIR4747
,,ALDH3A1
,,RHOBTB3
,,ISG15
,,HPRT1
,,HOXD10
,,LRG_246
,,PLCD1
,,FZD9
,,TMED5
,,ATF5
,,CD177
,,ASAH1
,,NPR3
,,EHHADH
,,INHBA
,,GGTLC1
,,DBNDD1
,,MIR4783
,,SLC22A12
,,ZNF227
,,C7orf31
,,AADAT
,,PARP14
,,ZDHHC19
,,IFNAR2
,,PCBD2
,,CLCN1
,,WIPF1
,,LRG_374
,,CABLES2
,,UBA7
,,OTOF
,,CYTH2
,,LRP10
,,VEGFA
,,ZC3HAV1L
,,PCDHA10
,,POU2F2
,,PDSS2
,,EPOR
,,RP11-138B4.1
,,KRT42P
,,NR0B1
,,DGKI
,,MIR320A
,,ZG16B
,,DMGDH
,,DZIP1L
,,R3HCC1
,,FLT4
,,PROSER2
,,ZNF600
,,AMZ2
,,BAIAP2L2
,,OBP2B
,,SBSN
,,CD27-AS1
,,MGARP
,,KRTAP5-11
,,TUBA1C
,,AFF3
,,LINC00672
,,ZNF219
,,SLC29A3
,,ADAD2
,,CLTA
,,TMC4
,,CU457734.2
,,CU151838.2
,,AC245052.2
,,ANKRD33
,,MZB1
,,GPR157
,,TDRG1
,,MOXD1
,,ZNF630
,,MTMR9LP
,,LCN1
,,FAM86B2
,,FAM86B1
,,RBMXL3
,,RP11-573G6.6
,,NOVA2
,,CD70
,,DEFB119
,,EXOG
,,ZBTB4
,,MYL2
,,LRG_393
,,SLC47A2
,,AC022182.3
,,RMND5B
,,PSMB4
,,HCN1
,,CTNNBIP1
,,TRIM17
,,PRPF18
,,C2CD2L
,,SPINT2
,,LARP7
,,WBP2
,,MYEOV
,,MIR602
,,UAP1
,,SCGB2A1
,,MIR196A1
,,GP9
,,TRIM9
,,SORL1
,,FBXO48
,,CYB5A
,,PDE1B
,,MLLT6
,,ATP8A2
,,OSMR
,,ADAM32
,,MIR4533
,,MIR3620
,,HTR1A
,,VAX2
,,ZMAT3
,,NLRC5
,,H6PD
,,DTD2
,,FOXN3
,,ZNHIT3
,,CSPG5
,,PARP11
,,DPCR1
,,TRA2B
,,RP11-59E19.1
,,PDZD3
,,FOXN4
,,BIRC8
,,PCDHGC4
,,CA7
,,TPP2
,,ZGLP1
,,SLC6A9
,,WDR52
,,KRTAP1-3
,,SLC1A6
,,TK1
,,KIF21A
,,KIAA1024
,,SKOR1
,,CALR
,,LRRC43
,,RARG
,,RP11-214O1.2
,,SEC23B
,,SYTL1
,,CTCFL
,,GCGR
,,TRERNA1
,,PYURF
,,PCDH17
,,ARF5
,,SPDL1
,,TIMELESS
,,C2CD4C
,,AL592528.1
,,HES7
,,MIR770
,,RHEB
,,TMEM88B
,,MIR711
,,DACT1
,,ZNF837
,,KIAA0020
,,FCN2
,,GPIHBP1
,,ZSCAN10
,,LRSAM1
,,LRG_373
,,CERCAM
,,CRELD2
,,PLCE1
,,KHDC3L
,,SNX27
,,S100A14
,,CNOT10
,,MKNK1
,,ACP5
,,RAB39A
,,CTD-2547E10.2
,,TMEM155
,,PCDHB6
,,MCAT
,,LMO2
,,CHODL
,,HCG4B
,,MIR4710
,,TDRP
,,SNX2
,,PPP1R32
,,ATP6V1G1
,,CCDC43
,,CEACAM5
,,B9D1
,,ITGB3
,,MIR4310
,,ACYP1
,,UBAC1
,,SUV420H1
,,DHX9
,,FAM188A
,,GFPT2
,,ZBTB42
,,CD5
,,NAA25
,,LIN7A
,,OR10Q1
,,KLF8
,,NBEA
,,CADM2
,,SLC22A16
,,NLRP5
,,CYP2U1
,,COMMD3-BMI1
,,SEMA3B
,,DHDH
,,PRPH
,,DPM3
,,CHSY1
,,CD79A
,,LRG_42
,,ELOVL6
,,PURG
,,FGFBP3
,,SERPINA6
,,AKAP11
,,ZNF790
,,ALPK3
,,SACS
,,SPOCK1
,,LRRC1
,,PEAR1
,,ZNF774
,,UNC13B
,,FKBP15
,,PPDPF
,,TACR2
,,CATSPERB
,,BEND2
,,DAAM2
,,CDC42BPB
,,KRTAP5-10
,,PI4KA
,,ARHGEF10L
,,DOK3
,,MEG3
,,VILL
,,CATSPER2
,,GLI4
,,CD97
,,CHMP4B
,,SNX5
,,DPF3
,,SATB1
,,FAHD2CP
,,YY2
,,HRCT1
,,TOPAZ1
,,C16orf90
,,SNHG11
,,PGAM2
,,KAL1
,,TMEM66
,,RORA
,,OTUB1
,,GABRE
,,ZNF608
,,ZNF836
,,PLEKHF2
,,PPP4R4
,,SGK3
,,C8orf44-SGK3
,,CTD-2162K18.5
,,ZNRF3-AS1
,,FAM219A
,,RNF17
,,EMR2
,,SCGB1B2P
,,GALNT16
,,FAM135B
,,ADAMTS3
,,DBNDD2
,,OR1L3
,,COX7A2L
,,RAMP2
,,FKBP1B
,,RBM33
,,STX1B
,,TEX13A
,,ACOT4
,,ZNF641
,,ABAT
,,AC025335.1
,,APH1A
,,GPR68
,,TPD52L2
,,RUNDC3B
,,SLC25A3P1
,,MRPL15
,,NCR1
,,ZFYVE27
,,VPS13C
,,WIF1
,,LEPRE1
,,LRG_5
,,TMEM106A
,,N6AMT2
,,MIR3960
,,PDGFA
,,METTL2B
,,EBPL
,,SHISA3
,,C15orf56
,,IL32
,,RP11-286H14.4
,,SH3BP1
,,WDR5
,,SLC7A10
,,C12orf39
,,TMPRSS9
,,COMMD2
,,RBM15B
,,SNORD115-35
,,FTMT
,,SSX2IP
,,H3F3C
,,CUL9
,,KIAA1211
,,C5orf60
,,DUPD1
,,FGF21
,,C12orf49
,,HSPA5
,,CDK5
,,MIR4285
,,ASB10
,,MIR142
,,KIAA1324L
,,DDX12P
,,PODN
,,SCARA3
,,HSD17B11
,,AGPAT1
,,CAPN1
,,SOHLH2
,,FAM124A
,,SUN3
,,RASGRP1
,,LAGE3
,,SLC15A3
,,PLAC9
,,CISH
,,UBP1
,,TMEFF2
,,C12orf68
,,MFSD8
,,LCP1
,,ACY3
,,FAM181A-AS1
,,ANKRD33B
,,CDC42BPG
,,OVOL1
,,NOTCH4
,,RYBP
,,MIR1276
,,RASEF
,,IPO9
,,NAPA
,,FOXA2
,,NEU2
,,TRPC3
,,APBB1IP
,,RP11-434C1.1
,,KRT13
,,POMGNT1
,,LINC01107
,,PAQR3
,,SLC35G3
,,IFITM1
,,HINT2
,,SHROOM4
,,MIR4322
,,CPSF1
,,KLHL23
,,ITPK1-AS1
,,EPS8L1
,,CORO2B
,,ENTPD8
,,WNT4
,,EPDR1
,,UMODL1
,,GCSAML-AS1
,,CTC-297N7.5
,,CHADL
,,CCDC14
,,NPAS4
,,KLK7
,,MIR3150A
,,TXNRD3
,,APOA5
,,IFT81
,,VPS37D
,,TNFRSF18
,,HSPA6
,,UCMA
,,KIF14
,,GNB5
,,ZNF451
,,IGF2R
,,CHRNG
,,KLK8
,,FAM211B
,,GRIA3
,,HOXD-AS2
,,LINC00620
,,ARF4
,,TMC5
,,NBL1
,,MINOS1-NBL1
,,SLC25A35
,,C15orf57
,,CEL
,,DARS2
,,TGM1
,,VGF
,,CYB561A3
,,NOS1AP
,,GPR108
,,AC114788.2
,,TMEM92
,,EHBP1
,,TNIK
,,BAG1
,,MIR2277
,,NDC1
,,DAZL
,,KRTAP5-AS1
,,FLOT1
,,CASP3
,,THRA
,,C9orf116
,,CDYL
,,PSMB1
,,LRRC32
,,LRRC59
,,ZPLD1
,,MTNR1B
,,MSX1
,,ABCC8
,,FBXW4
,,KIR2DL3
,,KIR2DS1
,,KIR2DS2
,,CYP2J2
,,CD300A
,,TCEA2
,,MIR1185-2
,,ECT2L
,,TYK2
,,LRG_121
,,PAK6
,,PPP1R2P3
,,FAM83A
,,C9orf152
,,FABP6
,,CMTR2
,,KIAA1755
,,ATP5E
,,EDN3
,,CALML5
,,TDP1
,,HDDC3
,,PADI2
,,VWCE
,,MCCC1
,,DPM1
,,PRKCD
,,MIR199B
,,APBA1
,,CMTM8
,,RSPH3
,,KIAA1244
,,GDPD3
,,PFAS
,,GAD2
,,SMYD3
,,RNF130
,,ATP5SL
,,GLTPD2
,,ANKEF1
,,LINC00668
,,RNF183
,,LINC01160
,,SOX13
,,APBA2
,,SLC23A1
,,CMYA5
,,FAM212B
,,DPY19L4
,,EFCAB1
,,RFC4
,,ZNF614
,,C16orf74
,,MIR5193
,,VWA2
,,IPPK
,,DYNC1I1
,,AMPD3
,,ALPL
,,BMP8B
,,DISP2
,,FBXO30
,,TOMM20
,,NOTCH2
,,AL512503.1
,,C1orf198
,,ZNF41
,,RAB6C
,,ABCA13
,,MATN2
,,KLF1
,,SFXN1
,,RAI2
,,KCNS3
,,CD2BP2
,,HSPA12B
,,IGFN1
,,PDAP1
,,ZNF891
,,PTCD1
,,ATP5J2-PTCD1
,,SORT1
,,C11orf16
,,PAX9
,,PARP1
,,IL6ST
,,FHL3
,,IDI2
,,GUCA2B
,,CPNE5
,,NT5C
,,GJB5
,,FHIT
,,TRIB2
,,ZNF826P
,,TSPAN9
,,CES1
,,PAX7
,,STAU2
,,ST6GALNAC5
,,RASSF6
,,FGFR1OP2
,,UPK2
,,C7orf63
,,H2AFJ
,,TPPP
,,HID1
,,NFX1
,,CAMK1D
,,CPNE4
,,TCF21
,,LRG_446
,,C17orf64
,,TUBB6
,,UROC1
,,ZFP64
,,IL17C
,,CLEC18B
,,CLEC18C
,,NHLH1
,,RP11-262H14.4
,,RP11-211N8.2
,,MIR2681
,,CPSF4L
,,ACSM1
,,MXD3
,,CD79B
,,LRG_43
,,ZNF416
,,C4orf32
,,SLC5A4
,,PAPL
,,IL17D
,,MYL9
,,GPR55
,,FAM99B
,,TRIP11
,,POU4F2
,,RPS21
,,NPY5R
,,DMBT1P1
,,ACER2
,,RTN4RL2
,,TMEM256-PLSCR3
,,DHRS11
,,ALOX15B
,,GGT6
,,RIPPLY2
,,DRG2
,,MARCKSL1
,,SOX6
,,RGS14
,,C1QC
,,LRG_24
,,YTHDF1
,,ZNF30
,,RMI2
,,CDADC1
,,LINC00851
,,PDK3
,,LINC00922
,,SMIM1
,,DHODH
,,MIR324
,,LINC00051
,,MSMO1
,,AMIGO3
,,TMEM82
,,IGSF3
,,CWH43
,,MFI2
,,TNN
,,TP73
,,GAS6-AS2
,,LGALSL
,,SLC35D3
,,ABCB6
,,PPP2R1B
,,SFRP2
,,DHCR24
,,DACH1
,,CECR7
,,HOXD9
,,KCNH1
,,HOXD1
,,LRPPRC
,,SALL1
,,CDCP2
,,GALP
,,VHL
,,LRG_322
,,SNAI2
,,SLC35E2B
,,SLC35E2
,,BNC1
,,RASL10B
,,ACTG2
,,WTIP
,,XPO5
,,HCAR1
,,GREM1
,,MNS1
,,KIAA1549
,,RLN2
,,SLC6A10P
,,KRT83
,,OLFML2B
,,ADCK2
,,RNF168
,,LRG_185
,,SLC27A2
,,GRM8
,,PHGR1
,,DNAH1
,,GORASP1
,,LPPR3
,,CYHR1
,,FAM155B
,,GOPC
,,VENTX
,,DNAJC6
,,AP1B1P1
,,BGLAP
,,MAF
,,ZNF329
,,SNX10
,,IGLL1
,,LRG_69
,,PLEKHA2
,,CRYGN
,,MIR4682
,,FLRT1
,,CEACAM16
,,FGFR1OP
,,BRDT
,,CCDC127
,,KRT17
,,EGFL6
,,PLA2G16
,,SEC14L3
,,IPO4
,,ULBP2
,,PPP3CB
,,KCTD17
,,DPYSL4
,,KBTBD8
,,HMGN2
,,LINC00605
,,PRSS38
,,PLIN4
,,DPAGT1
,,SLC22A2
,,NXT1
,,ADIPOR2
,,ITGA4
,,CD47
,,HAUS4
,,MIR4707
,,RAG1
,,LRG_98
,,FOXD2
,,C12orf23
,,RP11-412D9.4
,,FAM105A
,,MIR635
,,WISP2
,,KLHL14
,,SNORD115-44
,,TEX28P2
,,TEX28P1
,,TEX28
,,PPID
,,HCN2
,,RNASE8
,,NUDT8
,,DNAH14
,,COX5B
,,OSM
,,GRAMD1B
,,PLA2G15
,,TM9SF3
,,PAK3
,,DTX1
,,TAB1
,,SNORD33
,,SIGLEC15
,,DEFB1
,,KRTAP10-1
,,TRIM59
,,RP11-81H3.2
,,PPIB
,,LRG_10
,,FAM19A2
,,CHMP2B
,,ZNF71
,,TANGO6
,,PAX8
,,MYLIP
,,FAM71A
,,SCNN1G
,,PCDH8
,,TNFRSF13B
,,LRG_120
,,MYBPH
,,RHOD
,,XPR1
,,ASH2L
,,LRIT1
,,MYH14
,,PLK4
,,MTNR1A
,,ATAD3C
,,VPS4B
,,MPO
,,LRG_84
,,AIMP1
,,ZNF70
,,RP5-1033H22.2
,,TRPV3
,,MIEF2
,,FNDC1
,,PHLDA3
,,ARMC3
,,PAFAH2
,,TIMM23
,,ELANE
,,LRG_57
,,LINC00654
,,SDF2L1
,,RNF13
,,OAF
,,ZNF708
,,SLITRK5
,,SPESP1
,,HEBP2
,,AVIL
,,ARFGEF2
,,STRADA
,,CTD-2576F9.1
,,MKKS
,,CCDC8
,,TMEM151A
,,RP13-580B18.1
,,LRRC25
,,TMPRSS3
,,NCF1
,,KIAA1211L
,,IL13RA1
,,MCCD1
,,TMEM262
,,GPR64
,,TMEM41A
,,B3GAT1
,,CCDC69
,,GPM6B
,,PLEK2
,,HOXC4
,,TMEM107
,,HBA2
,,HBA1
,,MRPS16
,,ALDH1A3
,,RP11-307E17.8
,,PTGES2
,,PLXDC1
,,CCNL1
,,MIR4667
,,CTC-349C3.2
,,HMGB2
,,EXOC6B
,,ZNF90
,,ARMC5
,,RP11-439L8.3
,,DUSP13
,,URM1
,,RP11-339B21.11
,,GSTM2
,,TESC
,,UBL4A
,,RP5-1027G4.3
,,TMCO4
,,TOX2
,,FAM129C
,,CDKN2C
,,PPP6C
,,AMPD2
,,HOXA6
,,DNAJB5
,,PAX5
,,MIR1258
,,TRMT5
,,SRPRB
,,CD24
,,CPNE8
,,RAPGEF6
,,PYGO1
,,EPX
,,RP11-461O7.1
,,TMEM121
,,GSPT2
,,TPD52L1
,,RBP7
,,MIR3675
,,CCDC146
,,APH1B
,,SH3BP5
,,GATA2
,,LRG_295
,,FBLN7
,,ZNF365
,,LINC00926
,,ARHGAP21
,,RAVER2
,,KIAA2022
,,MCF2L
,,MIR4734
,,ADAD1
,,PPIC
,,KCNAB3
,,HAPLN4
,,HES4
,,AEBP1
,,R3HDM1
,,CARD10
,,NGF
,,LRG_260
,,ZNF214
,,CELA1
,,HSDL2
,,FAM160A1
,,ALG3
,,PRR23A
,,KCNA3
,,RP11-284N8.3
,,IQCF3
,,TMEM130
,,GRM3
,,DPP9
,,CDK5R2
,,COL9A3
,,OR10H2
,,TSPYL6
,,SEMA5A
,,LRRTM1
,,VSNL1
,,CCNB3
,,ARHGEF16
,,PDZD2
,,EEF1A2
,,RSPO4
,,B3GALT4
,,TRIQK
,,GIPR
,,ATP4A
,,RIPK4
,,DDR1
,,HK3
,,BUB1B
,,PACSIN1
,,CACNA1C
,,LRG_334
,,CLDN7
,,OR7E5P
,,ADRA1D
,,NUP133
,,KPNA5
,,SDC3
,,CTD-3064M3.1
,,ARHGEF39
,,SKI
,,TREH
,,ARHGAP36
,,ANKRD65
,,RALGPS2
,,PNLIPRP2
,,NDUFAF4
,,SLC30A3
,,CD38
,,TMEM233
,,TBCE
,,CLCNKB
,,MIEF1
,,OC90
,,SH3RF1
,,NEURL2
,,RAC2
,,LRG_97
,,PLXNC1
,,TRNP1
,,NMRK1
,,ACVR1B
,,MIR150
,,MOBP
,,CHI3L2
,,ALX4
,,KIR3DL1
,,KIR3DL2
,,RP11-1260E13.4
,,PSORS1C2
,,MANBA
,,MIR5008
,,MYO5B
,,RP11-290F20.1
,,MIR203
,,NINJ2
,,MAK16
,,LINC01019
,,TBC1D30
,,ATP1B1
,,KLHL32
,,ZNF549
,,RUNX3
,,PTPRD
,,TRPC6
,,PAGE1
,,MIR4309
,,TMEM88
,,UTP3
,,MAGEH1
,,MTHFD1
,,C14orf79
,,TRPT1
,,PSMB8
,,MYBPC3
,,LRG_386
,,SNORD115-38
,,LINC00598
,,RCL1
,,NSUN7
,,COL6A2
,,LRG_476
,,TMEM151B
,,RP11-296I10.6
,,IL3
,,GALNT3
,,CD40
,,LRG_40
,,AFAP1L1
,,PPP1R18
,,CKB
,,SNORD115-2
,,DPY19L2P2
,,LONRF3
,,PHOX2A
,,ALDH1A2
,,CDO1
,,NOTUM
,,MIR5089
,,MIR4724
,,TEKT2
,,ME1
,,THOC3
,,PHF23
,,RGAG4
,,ENTPD6
,,DEFB121
,,FLNC
,,WDR27
,,ADA
,,LRG_16
,,FAM171A1
,,GOLT1B
,,DOCK2
,,HIVEP3
,,WNT10A
,,RCC2P3
,,MIR4468
,,CD22
,,MIR140
,,LACTB2
,,DPPA5
,,AGT
,,CD80
,,CHRNA7
,,WNT2B
,,FOXG1
,,COA5
,,NELL1
,,SHISA6
,,SLC27A3
,,NES
,,ZNF517
,,HRASLS5
,,RNASEH2B
,,LRG_279
,,ARHGEF4
,,FAM49A
,,SCT
,,POTEF
,,MIR23B
,,SLC6A12
,,TP73-AS1
,,GNG8
,,CDH8
,,SPATA31E1
,,GNB1
,,RP11-638F5.1
,,ZNF560
,,GALR1
,,SMAD9
,,ULK4P3
,,ZNF491
,,TPPP3
,,RHOA
,,LYPD1
,,OR10H5
,,SOWAHD
,,DERL1
,,KIAA1614
,,IL17RE
,,LONP1
,,LINC00461
,,FAM179B
,,CAMK2N1
,,APOBEC3F
,,FAF2
,,AIF1L
,,DHTKD1
,,FDX1L
,,OXCT1
,,EXOC3L4
,,AC125421.1
,,GAREM
,,PROM1
,,KRTAP1-4
,,SLC25A33
,,NYAP2
,,AC018470.4
,,VAX1
,,SEZ6
,,APTX
,,MIR3912
,,CDX2
,,ZNF394
,,KNG1
,,CES1P1
,,PDLIM4
,,SYNJ1
,,PTGIR
,,PIK3CA
,,TCL1B
,,SLC13A4
,,SLC41A1
,,DCST2
,,COL27A1
,,CREG2
,,PKD2L1
,,TBC1D9
,,SLC35G1
,,MT1F
,,APC2
,,ABHD8
,,OSR2
,,FERD3L
,,ADCK4
,,C8orf76
,,CDS1
,,PTPN7
,,B4GALT6
,,KCNJ8
,,PLK1
,,TMOD4
,,BEND3
,,ANK1
,,BBS7
,,SSTR2
,,DSCC1
,,ZNF841
,,YDJC
,,NRD1
,,SEC14L4
,,AKAP7
,,VPREB1
,,FOXB2
,,DHH
,,TRIM36
,,MIR1253
,,hsa-mir-1253
,,CSF3
,,ZNF772
,,LAIR1
,,AC245884.2
,,TSNARE1
,,NRIP1
,,SLFN5
,,PLD4
,,UBE3D
,,MAP7
,,RP4-740C4.6
,,MIR1301
,,C1QTNF3
,,PTHLH
,,SLX1B-SULT1A4
,,LINC00905
,,MIR129-2
,,ZNF79
,,PNPLA7
,,DMRTA1
,,CT62
,,PAPLN
,,SMURF2
,,UGT1A9
,,UGT1A8
,,LDB1
,,LINC00297
,,FOXL1
,,TACR1
,,RAD54L2
,,EPO
,,PLEKHO1
,,GOT1
,,PPP1R2
,,TFF2
,,FAM221A
,,VSTM2L
,,SYNJ2-IT1
,,MAP3K19
,,KDELR1
,,GLUL
,,DCAF6
,,B4GALNT3
,,EVPLL
,,KIF21B
,,TRPS1
,,TERF1
,,TTC14
,,KCNJ12
,,PLLP
,,RP1-62O9.3
,,CCSAP
,,AC097374.2
,,F7
,,EBI3
,,FAM69C
,,ZFR
,,FOXD4L1
,,CHMP7
,,TIA1
,,BLCAP
,,GGT7
,,MCF2
,,SEC24A
,,FXYD1
,,PNN
,,PPAPDC3
,,FYN
,,IRGM
,,LINC00092
,,XXbac-B444P24.8
,,SGTA
,,BLOC1S2
,,MORC2-AS1
,,MIR4792
,,PRM3
,,PEX1
,,ORAI1
,,LRG_93
,,GBGT1
,,TPSD1
,,ACSS1
,,PSKH1
,,HLA-DQA2
,,PTX3
,,MGRN1
,,STK39
,,SRSF5
,,NNMT
,,LHX5
,,CDIP1
,,MIR5698
,,MIR3127
,,ECEL1P2
,,LILRA3
,,NMNAT3
,,FITM1
,,ZNF678
,,ACO1
,,DHDDS
,,AK7
,,SNORD111B
,,TGIF2
,,HRSP12
,,SEMA5B
,,SAMD10
,,RPRD1B
,,TTL
,,GSTM5
,,ALDH1L1
,,ZRSR2
,,IRS2
,,KIAA1462
,,ZNF84
,,HLA-F-AS1
,,SLCO4A1
,,KRTAP9-6
,,RP11-206C20.1
,,ATAD2
,,CDCA5
,,SUCLA2
,,WDR89
,,PCYT1A
,,RIPK2
,,DNAH2
,,NCALD
,,PTPLA
,,PKD2L2
,,UBE3C
,,FGD2
,,BCL2L14
,,NOL4
,,PCED1A
,,KIAA0319L
,,IRF6
,,ADAMTS19
,,TP53
,,LRG_321
,,CCND2
,,LRRC4B
,,TMEM164
,,RNF157
,,THBS4
,,C2orf72
,,VASH1
,,CTSF
,,HSPB8
,,LRG_249
,,SIRT3
,,SENP3-EIF4A1
,,GBP3
,,MPP1
,,RAD54L
,,APC
,,LRG_130
,,MLC1
,,LINC00341
,,GABPB2
,,TMEM229B
,,TEKT1
,,MIR4685
,,SCUBE3
,,TM9SF1
,,GGA3
,,PRKCB
,,FRRS1L
,,BMP3
,,RPS6KA2
,,TCP11L2
,,CAP1
,,LINC00939
,,RP11-267C16.1
,,SNORD115-29
,,SNORD115-11
,,SNORD115-43
,,SNORD115-36
,,KRTAP10-12
,,AP001067.1
,,FAM163A
,,CELF2
,,SMIM6
,,KLF15
,,MIR3619
,,TUSC3
,,ETFB
,,CTSV
,,FBXO41
,,PYDC1
,,CHP2
,,S100A3
,,DDX59
,,SBK3
,,OR2L13
,,UBXN2B
,,MDGA2
,,BFSP2
,,CC2D2B
,,RP11-248J23.6
,,IL27RA
,,GRK1
,,KRT36
,,ZSCAN16-AS1
,,ZBBX
,,ARHGAP42
,,SLC10A4
,,MAGI1
,,MAGEC1
,,FAM83A-AS1
,,ZFYVE21
,,RP11-17M15.2
,,RP11-3P17.4
,,ZNF660
,,LINC00966
,,PCDHA12
,,FAM19A5
,,RBMXL2
,,TMEM203
,,SPON1
,,CST11
,,EPHB6
,,TGFA
,,PRKAA2
,,XPNPEP2
,,LRRC10
,,ZNF341
,,PRMT2
,,SEPHS1P1
,,ZNF138
,,GHITM
,,SYT12
,,PDE4C
,,GFER
,,PIK3R4
,,LAPTM4B
,,C19orf12
,,SLC25A45
,,TEKT4P2
,,CELP
,,DNASE1L2
,,LCN10
,,CD2AP
,,C9orf62
,,COX7B2
,,AC016757.3
,,RNF214
,,ERP27
,,POLQ
,,CYGB
,,C10orf76
,,TCEA3
,,MIR4474
,,ZFYVE9
,,C17orf72
,,TP53I11
,,WFDC1
,,BMPR1B
,,SMPDL3A
