"Gene Name"	"Array data file names"	"Composite Element Ref"	"Antibody.validation.status"	"Antibody.Origin"	"Antibody.Source..Company."	"Catalog.Number"	"Protein.function.and.regulatory.pathways"
"TSC1"	"TSC1-R-C_GBL11066181.txt"	"TSC1-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4906"	"The tumor suppressor genes TSC1 encode hamartin functions as a GTPase-activating protein for the Ras-related small G protein Rheb and thus inhibits targets of rapamycin including mTOR to regulate G1 phase of the cell cycle, steroid hormone regulation, Rho activation and anchoring neuronal intermediate filaments to the actin cytoskeleton. "
"NKX2-1"	"TTF1-R-V_GBL11066170.txt"	"TTF1-R-V"	"Valid"	"Rabbit"	"Abcam"	"ab76013"	"TTF1 is a transcription factor that binds and activates the promoter of thyroid specific genes such as thyroglobulin, thyroperoxidase, and thyrotropin receptor. Crucial in the maintenance of the thyroid differentiation phenotype. May play a role in lung development and surfactant homeostasis."
"TSC2"	"Tuberin-R-E_GBL11066115.txt"	"Tuberin-R-E"	"Validated"	"Rabbit"	"Epitomics"	"1613-1"	"Tuberous sclerosis complex-2 (TSC2 also known as Tuberin) is a tumor suppressor that forms a complex with TSC1 (Hamartin ) and this complex is known to control various cellular functions including cell cycle, endocytosis, adhesion, and transcription. Involved in AKT/mTOR signaling. "
"TSC2"	"Tuberin_pT1462-R-V_GBL11066116.txt"	"Tuberin_pT1462-R-V"	"Validated"	"Rabbit"	"CST"	"3617"	"Tuberin is a product of the TSC2 tumor suppressor gene and an important regulator of cell proliferation and tumor development. Involved in AKT/mTOR signaling. "
"KDR"	"VEGFR2-R-V_GBL11066117.txt"	"VEGFR2-R-V"	"Validated"	"Rabbit"	"CST"	"2479"	"A major receptor for VEGF-induced signaling in endothelial cells"
"XBP1"	"XBP1-G-C_GBL11066242.txt"	"XBP1-G-C"	"Use with Caution"	"Goat"	"Santa Cruz"	"sc-32136"	"The X-box binding protein-1 plays a role in regulation of expression of osteoblast-specific genes."
"XRCC1"	"XRCC1-R-E_GBL11066148.txt"	"XRCC1-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"2735"	"A DNA repair protein important in both single strand break repair and base excision repair following damage from ionizing radiation and alkylating agents"
"YAP1"	"YAP-R-E_GBL11066129.txt"	"YAP-R-E"	"Under Evaluation"	"Rabbit"	"Santa Cruz"	"sc-15407"	"Involved in Src, AKT and MAPK signaling"
"YAP1"	"YAP_pS127-R-E_GBL11066130.txt"	"YAP_pS127-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"4911"	"Involved in Src, AKT and MAPK signaling"
"YBX1"	"YB-1-R-V_GBL11066118.txt"	"YB-1-R-V"	"Validated"	"Rabbit"	"SDI"	"1725.00.02"	"Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis"
"YBX1"	"YB-1_pS102-R-V_GBL11066136.txt"	"YB-1_pS102-R-V"	"Validated"	"Rabbit"	"CST"	"2900"	"Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis"
"YWHAB"	"14-3-3_beta-R-V_GBL1114584.txt"	"14-3-3_beta-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"sc-628"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"YWHAE"	"14-3-3_epsilon-M-C_GBL1114668.txt"	"14-3-3_epsilon-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-23957"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"YWHAZ"	"14-3-3_zeta-R-V_GBL1114585.txt"	"14-3-3_zeta-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"sc-1019"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"EIF4EBP1"	"4E-BP1-R-V_GBL1114391.txt"	"4E-BP1-R-V"	"Validated"	"Rabbit"	"CST"	"9452"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pS65-R-V_GBL1114392.txt"	"4E-BP1_pS65-R-V"	"Validated"	"Rabbit"	"CST"	"9456"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pT37_T46-R-V_GBL1114393.txt"	"4E-BP1_pT37_T46-R-V"	"Validated"	"Rabbit"	"CST"	"9459"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pT70-R-V_GBL1114394.txt"	"4E-BP1_pT70-R-V"	"Use with Caution"	"Rabbit"	"CST"	"9455"	"Involved in protein translation, Regulated my PI3K/AKT/mTOR pathway"
"TP53BP1"	"53BP1-R-E_GBL1114598.txt"	"53BP1-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"4937"	"Identified as a p53 binding partner that could enhance the transcriptional activity of p53., Also involves in DNA repair signaling"
"ACACA"	"ACC1-R-E_GBL1114396.txt"	"ACC1-R-E"	"Under Evaluation"	"Rabbit"	"Epitomics"	"1768-1"	"Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation"
"ACACA ACACB"	"ACC_pS79-R-V_GBL1114395.txt"	"ACC_pS79-R-V"	"Validated"	"Rabbit"	"CST"	"3661"	"Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation"
"TUBA1B"	"Acetyl-a-Tubulin-Lys40-R-C_GBL1114634.txt"	"Acetyl-a-Tubulin-Lys40-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"5335"	"The cytoskeleton consists of three types of cytosolic fibers: microtubules, microfilaments (actin filaments), and intermediate filaments. Acetylation of _-tubulin at Lys40 is required for dynamic cell shape remodeling, cell motility, tubulin stability and terminal branching of cortical neurons"
"ACVRL1"	"ACVRL1-R-C_GBL1114613.txt"	"ACVRL1-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"2940-1"	"TNF beta superfamily"
"ADAR"	"ADAR1-M-V_GBL1114683.txt"	"ADAR1-M-V"	"Validated"	"Mouse"	"Abcam"	"ab88574"	"Converts multiple adenosines to inosines and creates I/U mismatched base pairs in double-helical RNA substrates without apparent sequence specificity. It plays a role in RNA editing."
"AKT1 AKT2 AKT3"	"Akt-R-V_GBL1114612.txt"	"Akt-R-V"	"Validated"	"Rabbit"	"CST"	"9272"	"PI3K/AKT/mTOR pathway"
"AKT1 AKT2 AKT3"	"Akt_pS473-R-V_GBL1114515.txt"	"Akt_pS473-R-V"	"Validated"	"Rabbit"	"CST"	"9271"	"PI3K/AKT/mTOR pathway"
"AKT1 AKT2 AKT3"	"Akt_pT308-R-V_GBL1114631.txt"	"Akt_pT308-R-V"	"Validated"	"Rabbit"	"CST"	"9275"	"PI3K/AKT/mTOR pathway"
"CTNNA1"	"alpha-Catenin-M-V_GBL1114670.txt"	"alpha-Catenin-M-V"	"Validated"	"Mouse"	"Calbiochem"	"CA1030"	"Discontinued"
"PRKAA1"	"AMPK_alpha-R-C_GBL1114397.txt"	"AMPK_alpha-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2532"	"Involved in energy homeostasis regulation"
"PRKAA1"	"AMPK_pT172-R-V_GBL1114465.txt"	"AMPK_pT172-R-V"	"Validated"	"Rabbit"	"CST"	"2535"	"Involved in energy homeostasis regulation"
"ANXA1"	"Annexin-1-M-E_GBL1114686.txt"	"Annexin-1-M-E"	"Under Evaluation"	"Mouse"	"BD Transduction"	"610066"	"Apoptosis"
"ANXA7"	"Annexin_VII-M-V_GBL1114680.txt"	"Annexin_VII-M-V"	"Validated"	"Mouse"	"BD Biosciences"	"610668"	"Apoptosis"
"AR"	"AR-R-V_GBL1114568.txt"	"AR-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1852-1"	"Androgen receptor (AR). Transcription Factor"
"ARAF"	"A-Raf-R-V_GBL1114702.txt"	"A-Raf-R-V"	""	""	""	""	""
"ARAF"	"A-Raf_pS299-R-C_GBL1114522.txt"	"A-Raf_pS299-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4431"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"ARID1A"	"ARID1A-R-C_GBL1114696.txt"	"ARID1A-R-C"	"Validated"	"Mouse"	"Abgent"	"AT1188a"	"Involves in PI3K/PTEN signaling"
"ASNS"	"ASNS-R-V_GBL1114640.txt"	"ASNS-R-V"	"Validated"	"Rabbit"	"Sigma"	"HPA029318"	"The protein encoded by ASNS gene is involved in the synthesis of asparagine. "
"ATM"	"ATM-R-E_GBL1114466.txt"	"ATM-R-E"	"Under Evaluation"	"Rabbit"	"Abcam"	"ab32420"	"Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. "
"BAD"	"Bad_pS112-R-V_GBL1114467.txt"	"Bad_pS112-R-V"	"Validated"	"Rabbit"	"CST"	"9291"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BAK1"	"Bak-R-C_GBL1114468.txt"	"Bak-R-C"	"Under Evaluation"	"Rabbit"	"Epitomics"	"1542-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BAP1"	"Bap1-c-4-M-V_GBL1114685.txt"	"Bap1-c-4-M-V"	"Ender Evaluation"	"Rabbit"	"Alomine"	"APC-125"	"BAP1 is a tumor suppressor that requires deubiquitinating activity and nuclear localization"
"BAX"	"Bax-R-V_GBL1114469.txt"	"Bax-R-V"	"Validated"	"Rabbit"	"CST"	"2772"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BCL2"	"Bcl-2-M-V_GBL1114646.txt"	"Bcl-2-M-V"	"Validated"	"Mouse"	"Dako"	"Dako M0887"	"Anti-apoptotic protein, Oncoprotein"
"BCL2A1"	"Bcl2A1-R-V_GBL1114698.txt"	"Bcl2A1-R-V"	""	""	""	""	""
"BCL2L1"	"Bcl-xL-R-V_GBL1114471.txt"	"Bcl-xL-R-V"	"Validated"	"Rabbit"	"CST"	"2762"	"Bcl-2 interacting mediator of cell death, anti-apoptotic protein "
"BECN1"	"Beclin-G-C_GBL1114641.txt"	"Beclin-G-C"	"Use with Caution"	"Goat"	"Santa Cruz"	"sc-10086"	"BECN1 (Beclin 1) is a coiled-coil protein that has been implicated as an inhibitor of tumorigenesis. BECN1, which associates with Bcl-2, plays a significant role in autophagy."
"CTNNB1"	"beta-Catenin-R-V_GBL1114470.txt"	"beta-Catenin-R-V"	"Validated"	"Rabbit"	"CST"	"9562"	"Downstream effector in the Wnt signaling pathway"
"BID"	"Bid-R-C_GBL1114472.txt"	"Bid-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1008-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein"
"BCL2L11"	"Bim-R-V_GBL1114473.txt"	"Bim-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1036-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein"
"BRAF"	"B-Raf-M-C_GBL1114647.txt"	"B-Raf-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-5284"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"BRAF"	"B-Raf_pS445-R-V_GBL1114694.txt"	"B-Raf_pS445-R-V"	""	""	""	""	""
"BRCA2"	"BRCA2-R-C_GBL1114570.txt"	"BRCA2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9012"	"The breast cancer susceptibility protein BRCA2 has roles in multiple processes related to DNA damage, repair, cell cycle progression, transcription, ubiquitination, and apoptosis"
"BRD4"	"BRD4-R-V_GBL1114704.txt"	"BRD4-R-V"	""	""	""	""	""
"ABL1"	"c-Abl-R-V_GBL1114707.txt"	"c-Abl-R-V"	""	""	""	""	""
"CASP3"	"Caspase-3-R-C_GBL1114699.txt"	"Caspase-3-R-C"	"Use with Caution"	"Rabbit"	"Abcam"	"ab32042"	"Involved in the activation cascade of caspases responsible for apoptosis execution."
"CASP7"	"Caspase-7_cleavedD198-R-C_GBL1114474.txt"	"Caspase-7_cleavedD198-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9491"	"A major contributor to the execution of apoptosis"
"CASP8"	"Caspase-8-M-E_GBL1114672.txt"	"Caspase-8-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9746"	"Apoptosis induced through the CD95 receptor (Fas/APO-1) and tumor necrosis factor receptor 1 (TNFR1) activates caspase-8 and leads to the release of the caspase-8 active fragments, p18 and p10. Activated caspase-8 cleaves and activates downstream effector caspases such as caspase-1, -3, -6, and -7. Caspase-3 ultimately elicits the morphological hallmarks of apoptosis, including DNA fragmentation and cell shrinkage."
"CAV1"	"Caveolin-1-R-V_GBL1114505.txt"	"Caveolin-1-R-V"	"Validated"	"Rabbit"	"CST"	"3238"	"One of the principal structural components of the cholesterol/sphingolipid-enriched plasma membrane microdomain caveolae. Interact with multiple signaling molecules such as G_ subunit, tyrosine kinase receptors, PKCs, Src family tyrosine kinases, and eNOS"
"MS4A1"	"CD20-R-C_GBL1114506.txt"	"CD20-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1632"	"Human B lymphocyte surfacr marker"
"DPP4"	"CD26-R-V_GBL1114700.txt"	"CD26-R-V"	""	""	""	""	""
"PECAM1"	"CD31-M-V_GBL1114648.txt"	"CD31-M-V"	"Validated"	"Mouse"	"Dako"	"M0823"	"Endothelia cell marker"
"ITGA2"	"CD49b-M-V_GBL1114671.txt"	"CD49b-M-V"	"Validated"	"Mouse"	"BD"	"611016"	"Integrin"
"CDK1"	"CDK1-R-V_GBL1114599.txt"	"CDK1-R-V"	"Validated"	"Rabbit"	"CST"	"9112"	"Involved in the regulation of the entry of eukaryotic cells into mitosis"
"CDK1"	"CDK1_pY15-R-C_GBL1114710.txt"	"CDK1_pY15-R-C"	""	""	""	""	""
"CHEK1"	"Chk1-M-C_GBL1114684.txt"	"Chk1-M-C"	"Under Evaluation"	"Rabbit"	"CST"	"2345"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK1"	"Chk1_pS296-R-V_GBL1114695.txt"	"Chk1_pS296-R-V"	""	""	""	""	""
"CHEK1"	"Chk1_pS345-R-C_GBL1114590.txt"	"Chk1_pS345-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2348"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK2"	"Chk2-M-E_GBL1114649.txt"	"Chk2-M-E"	"Under Evaluation"	"Mouse"	"CST"	"3440"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK2"	"Chk2_pT68-R-C_GBL1114507.txt"	"Chk2_pT68-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2197"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"BIRC2 "	"cIAP-R-V_GBL1114594.txt"	"cIAP-R-V"	"Use with Caution"	"Rabbit"	"Millipore"	"07-759"	"Apoptosis suppressor"
"JUN"	"c-Jun_pS73-R-V_GBL1114398.txt"	"c-Jun_pS73-R-V"	"Validated"	"Rabbit"	"CST"	"9164"	"MAPK pathway, A component of the transcription factor activator protein-1 (AP-1), Regulates cell proliferation, differentiation, and apoptosis, as well as transformation, invasion and metastasis"
"KIT"	"c-Kit-R-V_GBL1114645.txt"	"c-Kit-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1522"	"Tyrosine Kinase Receptor"
"CLDN7"	"Claudin-7-R-V_GBL1114582.txt"	"Claudin-7-R-V"	"Validated"	"Rabbit"	"Novus"	"NB100-91714"	"Claudins  make up tight junction strands."
"MET"	"c-Met-M-E_GBL1114664.txt"	"c-Met-M-E"	"**Used for QC**"	"Mouse"	"CST"	"3127"	"Met, a high affinity tyrosine kinase receptor for hepatocyte growth factor (HGF, also known as scatter factor) is a disulfide-linked heterodimer made of 45 kDa ?- and 145 kDa ?-subunits. The ?-subunit and the amino-terminal region of the ?-subunit form the extracellular domain. The remainder of the ?-chain spans the plasma membrane and contains a cytoplasmic region with tyrosine kinase activity. Interaction of Met with HGF results in autophosphorylation at multiple tyrosines, which recruit several downstream signaling components, including Gab1, c-Cbl, and PI3 kinase. These fundamental events are important for all of the biological functions involving Met kinase activity. The addition of a phosphate at cytoplasmic Tyr1003 is essential for Met protein ubiquitination and degradation. Phosphorylation at Tyr1234/1235 in the Met kinase domain is critical for kinase activation. Phosphorylation at Tyr1349 in the Met cytoplasmic domain provides a direct binding site for Gab1. Research studies have shown that altered Met levels and/or tyrosine kinase activities are found in several types of tumors, including renal, colon, and breast. Thus, investigators have concluded that Met is an attractive potential cancer therapeutic and diagnostic target."
"MET"	"c-Met_pY1235-R-V_GBL1114565.txt"	"c-Met_pY1235-R-V"	"Validated"	"Rabbit"	"CST"	"3129"	"Tyrosine kinase receptor for hepatocyte growth factor"
"MYC"	"c-Myc-R-C_GBL1114629.txt"	"c-Myc-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9402"	"Members of the Myc/Max/Mad network function as transcriptional regulators invlolving in proliferation, differentiation and apoptosis"
"COG3"	"COG3-R-V_GBL1114693.txt"	"COG3-R-V"	""	""	""	""	""
"COL6A1"	"Collagen_VI-R-V_GBL1114509.txt"	"Collagen_VI-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-20649"	"Collagens are fibrous, extracellular matrix proteins play a role in cell adhesion, important for maintaining normal tissue architecture and function."
"RAF1"	"C-Raf-R-V_GBL1114577.txt"	"C-Raf-R-V"	"Validated"	"Rabbit"	"Millipore"	"05-739"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"RAF1"	"C-Raf_pS338-R-V_GBL1114510.txt"	"C-Raf_pS338-R-V"	"Under Evaluation"	"Rabbit"	"CST"	"9427"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"CCNB1"	"Cyclin_B1-R-V_GBL1114511.txt"	"Cyclin_B1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1495-1"	"Cyclin B1 regulates mitosis. Cyclin B1 levels rise during S phase and G2, and peak at mitosis. "
"CCND1"	"Cyclin_D1-R-V_GBL1114512.txt"	"Cyclin_D1-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-718"	"Cyclin D corresponds to a putative human oncogene. It regulates phosphorylation of the retinoblastoma gene product, thereby activating E2F transcription factors"
"CCNE1"	"Cyclin_E1-M-V_GBL1114650.txt"	"Cyclin_E1-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"SC-247"	"Cyclin E has been found to be associated with the transcription factor E2F in a temporally regulated manner. The cyclin E/E2F complex is detected primarily during the G1 phase of the cell cycle and decreases as cells enter S phase. E2F is known to be a critical transcription factor for expression of several S phase specific proteins."
"CCNE2"	"Cyclin_E2-R-C_GBL1114513.txt"	"Cyclin_E2-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1142"	"Controls cell cycle at late G1 and early S phase"
"DIRAS3"	"DIRAS3-M-E_GBL1114687.txt"	"DIRAS3-M-E"	"Under Evaluation"	"Mouse"	"Dr. Robert C Bast Jr."	"Customer made"	"A member of the ras superfamily, Expressed in normal ovarian and breast epithelial cells, but not in ovarian and breast cancers."
"PARK7"	"DJ-1-R-E_GBL1114588.txt"	"DJ-1-R-E"	"Validated"	"Rabbit"	"Abcam"	"ab76008"	"May involved in regulation of PTEN expression"
"GUSP4"	"DUSP4-R-V_GBL1114697.txt"	"DUSP4-R-V"	""	""	""	""	""
"DVL3"	"Dvl3-R-V_GBL1114596.txt"	"Dvl3-R-V"	"Validated"	"Rabbit"	"CST"	"3218"	"Intermediates of Wnt signaling pathways"
"CDH1"	"E-Cadherin-R-V_GBL1114614.txt"	"E-Cadherin-R-V"	"Validated"	"Rabbit"	"CST"	"4065"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"EEF2"	"eEF2-R-C_GBL1114604.txt"	"eEF2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2332"	"Eukaryotic elongation factor 2 (eEF2) catalyzes the translocation of peptidyl-tRNA from the A site to the P site on the ribosome. Insulin induces rapid dephosphorylation of eEF2 through mTOR signaling."
"EEF2K"	"eEF2K-R-V_GBL1114605.txt"	"eEF2K-R-V"	"Validated"	"Rabbit"	"CST"	"3692"	"Eukaryotic elongation factor 2 kinase (eEF2k) phosphorylates and inactivates eEF2, resulting in the inhibition of peptide-chain elongation.p90RSK and p70 S6 kinase phosphorylate and inactivate eEF2k."
"EGFR"	"EGFR-R-V_GBL1114616.txt"	"EGFR-R-V"	"Validated"	"Rabbit"	"CST"	"2232"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EGFR"	"EGFR_pY1068-R-C_GBL1114399.txt"	"EGFR_pY1068-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2234"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EGFR"	"EGFR_pY1173-R-V_GBL1114514.txt"	"EGFR_pY1173-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1124"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EIF4E"	"eIF4E-R-V_GBL1114564.txt"	"eIF4E-R-V"	"Valid"	"Rabbit"	"CST"	"9742"	"Eukaryotic initiation factor 4E (eIF4E) binds to the mRNA cap structure to mediate the initiation of translation (1,2). eIF4E interacts with eIF4G, a scaffold protein that promotes assembly of eIF4E and eIF4A into the eIF4F complex (2). eIF4B is thought to assist the eIF4F complex in translation initiation. Upon activation by mitogenic and/or stress stimuli mediated by Erk and p38 MAPK, Mnk1 phosphorylates eIF4E at Ser209 in vivo (3,4). Two Erk and p38 MAPK phosphorylation sites in mouse Mnk1 (Thr197 and Thr202) are essential for Mnk1 kinase activity (3). The carboxy-terminal region of eIF4G also contains serum-stimulated phosphorylation sites, including Ser1108, Ser1148, and Ser1192 (5). Phosphorylation at these sites is blocked by the PI3 kinase inhibitor LY294002 and by the FRAP/mTOR inhibitor rapamycin."
"EIF4G1"	"eIF4G-R-C_GBL1114619.txt"	"eIF4G-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2498"	"Translation initiation factor"
"EPPK1"	"EPPK1-M-E_GBL1114663.txt"	"EPPK1-M-E"	"Use with Caution"	"Mouse"	"BD Pharmingen"	"556347"	"Transfection Factor"
"ESR1"	"ER-alpha-R-V_GBL1114400.txt"	"ER-alpha-R-V"	"Validated"	"Rabbit"	"Lab Vision"	"RM-9101-S"	"Estrogen receptor, Transcription Factor"
"ESR1"	"ER-alpha_pS118-R-V_GBL1114516.txt"	"ER-alpha_pS118-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1091-1"	"Estrogen receptor, Transcription Factor"
"ERCC1"	"ERCC1-M-V_GBL1114651.txt"	"ERCC1-M-V"	"**Used for QC**"	"Mouse"	"Lab Vision"	"MS-671-PO"	"Involved in DNA repaire"
"ERCC5"	"ERCC5-R-C_GBL1114703.txt"	"ERCC5-R-C"	""	""	""	""	""
"MAPK1"	"ERK2-R-E_GBL1114517.txt"	"ERK2-R-E"	"Under Evaluation"	"Rabbit"	"Santa Cruz"	"sc-154"	"Mitogen-activated protein kinase (MAPK) signaling pathways involve two closely related MAP kinases, known as extracellular-signal-related kinase 1 (ERK 1, p44) and 2 (ERK 2, p42)."
"ETS1"	"ETS-1-R-V_GBL1114635.txt"	"ETS-1-R-V"	"Validated"	"Rabbit"	"BethYl"	"A303-501A"	"Ets-1 is a member of the ETS family of transcription factors"
"FASN"	"FASN-R-V_GBL1114632.txt"	"FASN-R-V"	"Validated"	"Rabbit"	"CST"	"3180"	"Fatty acid synthase (FASN) catalyzes the synthesis of long-chain fatty acids from acetyl-CoA and malonyl-CoA. Indicated as a poor prognosis in breast and prostate cancer. "
"FN1"	"Fibronectin-R-V_GBL1114518.txt"	"Fibronectin-R-V"	"Use with Caution"	"Rabbit"	"Epitomics"	"1574-1"	"Involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape"
"FOXM1"	"FoxM1-R-V_GBL1114618.txt"	"FoxM1-R-V"	"Validated"	"Rabbit"	"CST"	"5436"	"A forkhead box family transcription factor that regulates a number of genes throughout the cell cycle to help control DNA replication, mitosis and cell proliferation"
"FOXO3"	"FOXO3a-R-C_GBL1114690.txt"	"FOXO3a-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9467"	"Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway"
"FOXO3"	"FOXO3a_pS318_S321-R-C_GBL1114525.txt"	"FOXO3a_pS318_S321-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9465"	"Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway"
"G6PD"	"G6PD-M-V_GBL1114681.txt"	"G6PD-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-373887"	"Plays an important role in the pentose phosphate pathway"
"GAB2"	"GAB2-R-V_GBL1114597.txt"	"GAB2-R-V"	"Validated"	"Rabbit"	"CST"	"3239"	"Adaptor proteins recruited by a wide variety of receptor tyrosine kinases (RTKs) such as EGFR, HGFR, insulin receptor, cytokine receptor and B cell antigen receptors"
"GAPDH"	"GAPDH-M-C_GBL1114652.txt"	"GAPDH-M-C"	"Use with Caution"	"Mouse"	"Ambion"	"AM4300"	"Glyceraldehyde 3-phosphate dehydrogenase"
"GATA3"	"GATA3-M-V_GBL1114665.txt"	"GATA3-M-V"	"Validated"	"Mouse"	"BD Biosciences"	"558686"	"Transcription factor"
"GSK3A GSK3B"	"GSK3-alpha-beta-M-V_GBL1114653.txt"	"GSK3-alpha-beta-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"SC-7291"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"GSK3A GSK3B"	"GSK3-alpha-beta_pS21_S9-R-V_GBL1114526.txt"	"GSK3-alpha-beta_pS21_S9-R-V"	"Validated"	"Rabbit"	"CST"	"9331"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"GSK3A GSK3B"	"GSK3_pS9-R-V_GBL1114611.txt"	"GSK3_pS9-R-V"	"Validated"	"Rabbit"	"CST"	"9336"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"ERBB2"	"HER2-M-V_GBL1114675.txt"	"HER2-M-V"	"Validated"	"Mouse"	"Lab Vision"	"MS-325-P1"	"The ErbB-2 proto-oncogene product"
"ERBB2"	"HER2_pY1248-R-C_GBL1114608.txt"	"HER2_pY1248-R-C"	"Use with Caution"	"Rabbit"	"Upstate (Millipore)"	"06-229"	"The ErbB-2 proto-oncogene product"
"ERBB3"	"HER3-R-V_GBL1114592.txt"	"HER3-R-V"	"Validated"	"Mouse"	"Lab Vision"	"MS-201-P1ABX"	"A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity"
"ERBB3"	"HER3_pY1289-R-C_GBL1114566.txt"	"HER3_pY1289-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4791"	"A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity"
"NRG1"	"Heregulin-R-V_GBL1114587.txt"	"Heregulin-R-V"	"Validated"	"Rabbit"	"CST"	"2573"	"A soluble growth factor synthesized as a transmembrane precursor molecule involved in HRG-ErbB3/ErbB4 signaling to regulate cell proliferation, differentiation, invasion, and survival of both normal and malignant tissues"
